,barrio,Con muertos,Atropello,Ciclo Ruta,Glorieta,Interseccion,Lote o Predio,Paso Elevado,Paso Inferior,Paso a Nivel,Pontón,Puente,Tramo de via,Tunel,Via peatonal,cluster
387,Suburbano Piedra Gorda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
388,Suburbano Potrerito,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3
389,Suburbano Travesias,0.0,19.0,0.0,0.0,9.0,19.0,0.0,0.0,0.0,0.0,2.0,65.0,0.0,0.0,3
390,Suburbano el Tesoro,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,3
391,Sucre,3.0,71.0,3.0,3.0,212.0,96.0,1.0,0.0,0.0,0.0,4.0,449.0,0.0,0.0,1
392,Suramericana,1.0,92.0,8.0,0.0,399.0,140.0,0.0,2.0,0.0,1.0,2.0,1324.0,0.0,0.0,2
393,Tejelo,1.0,133.0,2.0,0.0,212.0,124.0,0.0,0.0,0.0,0.0,0.0,517.0,0.0,0.0,1
394,Tenche,2.0,48.0,5.0,0.0,296.0,56.0,2.0,1.0,0.0,1.0,3.0,766.0,0.0,0.0,2
395,Terminal de Transporte,1.0,173.0,10.0,414.0,208.0,292.0,5.0,66.0,3.0,0.0,16.0,2169.0,0.0,0.0,0
396,Toscana,8.0,81.0,1.0,0.0,79.0,63.0,8.0,9.0,1.0,0.0,15.0,1091.0,0.0,0.0,2
397,Travesías,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
398,Trece de Noviembre,0.0,28.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,3
399,Tricentenario,4.0,55.0,5.0,0.0,63.0,81.0,11.0,1.0,0.0,0.0,4.0,955.0,0.0,0.0,2
400,Trinidad,2.0,168.0,5.0,0.0,321.0,80.0,0.0,1.0,0.0,0.0,0.0,866.0,0.0,0.0,2
401,U.D. Atanasio Girardot,0.0,39.0,6.0,1.0,63.0,29.0,0.0,1.0,0.0,0.0,0.0,233.0,0.0,0.0,1
402,U.P.B.,0.0,5.0,0.0,4.0,23.0,14.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,3
403,Universidad Nacional,2.0,93.0,7.0,2.0,189.0,106.0,29.0,11.0,5.0,0.0,53.0,1599.0,0.0,0.0,2
404,Universidad de Antioquia,3.0,49.0,5.0,2.0,76.0,79.0,8.0,2.0,0.0,0.0,16.0,879.0,0.0,0.0,2
405,Veinte de Julio,1.0,84.0,2.0,0.0,63.0,49.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0,1
406,Versalles No. 1,0.0,147.0,3.0,0.0,74.0,106.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0,1
407,Versalles No. 2,0.0,19.0,1.0,0.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,3
408,Versalles No.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3
409,Versalles No.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3
410,Villa Carlota,5.0,90.0,7.0,6.0,308.0,212.0,0.0,2.0,1.0,0.0,1.0,2083.0,0.0,0.0,0
411,Villa Flora,0.0,57.0,2.0,0.0,143.0,140.0,0.0,0.0,0.0,0.0,0.0,703.0,0.0,0.0,2
412,Villa Guadalupe,1.0,107.0,2.0,0.0,57.0,75.0,1.0,0.0,0.0,0.0,1.0,325.0,0.0,1.0,1
413,Villa Hermosa,1.0,126.0,0.0,1.0,176.0,89.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,1
414,Villa Liliam,2.0,44.0,1.0,0.0,16.0,36.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,3
415,Villa Lilliam,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3
416,Villa Niza,0.0,41.0,0.0,0.0,24.0,28.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,0.0,1
417,Villa Nueva,5.0,470.0,17.0,5.0,910.0,237.0,3.0,28.0,0.0,0.0,0.0,2509.0,1.0,0.0,0
418,Villa Turbay,0.0,11.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,3
419,Villa del Socorro,0.0,104.0,2.0,0.0,39.0,77.0,0.0,0.0,0.0,0.0,1.0,390.0,0.0,0.0,1
420,Villatina,0.0,118.0,1.0,1.0,39.0,112.0,0.0,0.0,0.0,0.0,0.0,435.0,0.0,0.0,1
421,Volcana Guayabal,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3
422,Yarumalito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
423,Yolombo,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,3
424,Área de Expansión Altavista,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3
425,Área de Expansión Altos de Calasanz,0.0,8.0,0.0,0.0,4.0,23.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,3
426,Área de Expansión Pajarito,3.0,120.0,1.0,0.0,101.0,225.0,0.0,2.0,0.0,1.0,1.0,691.0,2.0,0.0,2
427,Área de Expansión San Antonio de Prado,0.0,11.0,0.0,1.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,3
